Title;
Time;Conc5_TC
23.04.2026 08:03:45;899.58704
23.04.2026 08:03:46;899.0516
23.04.2026 08:03:47;897.292
23.04.2026 08:03:48;897.87604
23.04.2026 08:03:49;899.9047
23.04.2026 08:03:50;901.19324
23.04.2026 08:03:51;900.5282
23.04.2026 08:03:52;900.6816
23.04.2026 08:03:53;901.5847
23.04.2026 08:03:54;901.31305
23.04.2026 08:03:55;900.3998
23.04.2026 08:03:56;899.60626
23.04.2026 08:03:57;901.0748
23.04.2026 08:03:58;901.0405
23.04.2026 08:03:59;899.115
23.04.2026 08:04:00;899.47174
23.04.2026 08:04:01;899.54346
23.04.2026 08:04:02;900.06604
