Title;VH2-PreliminaryTest-2026
Time;Conc5_TC
23.04.2026 08:07:04;902.71387
23.04.2026 08:07:10;901.2629
23.04.2026 08:07:11;900.9879
23.04.2026 08:07:12;900.2365
23.04.2026 08:07:14;901.09247
23.04.2026 08:07:14;899.5265
23.04.2026 08:07:15;902.13293
23.04.2026 08:07:17;901.03815
23.04.2026 08:07:18;902.7389
23.04.2026 08:07:19;904.19666
23.04.2026 08:07:20;902.50793
23.04.2026 08:07:21;900.1347
23.04.2026 08:07:22;899.95184
23.04.2026 08:07:22;900.1458
23.04.2026 08:07:23;902.33997
23.04.2026 08:07:25;902.9403
23.04.2026 08:07:25;903.04297
23.04.2026 08:07:26;902.0401
23.04.2026 08:07:27;902.4945
23.04.2026 08:07:29;902.9522
23.04.2026 08:07:30;901.4265
23.04.2026 08:07:31;902.7571
23.04.2026 08:07:32;901.8896
23.04.2026 08:07:32;902.2359
23.04.2026 08:07:34;901.3531
23.04.2026 08:07:35;900.76404
23.04.2026 08:07:36;899.6113
23.04.2026 08:07:37;899.23804
23.04.2026 08:07:38;899.7727
23.04.2026 08:07:39;900.08856
23.04.2026 08:07:40;900.0428
23.04.2026 08:07:40;900.4255
23.04.2026 08:07:42;900.3782
23.04.2026 08:07:43;902.78864
23.04.2026 08:07:44;900.45056
23.04.2026 08:07:45;899.94855
23.04.2026 08:07:45;899.61884
23.04.2026 08:07:47;899.528
23.04.2026 08:07:48;898.46295
23.04.2026 08:07:48;897.4016
23.04.2026 08:07:50;899.94574
23.04.2026 08:07:51;899.62146
23.04.2026 08:07:51;900.6
23.04.2026 08:07:53;899.7926
23.04.2026 08:07:54;900.1551
23.04.2026 08:07:55;900.9215
23.04.2026 08:07:55;899.9139
23.04.2026 08:07:56;901.9455
23.04.2026 08:07:58;899.51935
23.04.2026 08:07:59;899.65375
23.04.2026 08:08:00;899.6381
23.04.2026 08:08:00;897.5018
23.04.2026 08:08:02;900.1541
23.04.2026 08:08:03;899.88464
23.04.2026 08:08:03;899.0848
23.04.2026 08:08:05;899.88965
23.04.2026 08:08:05;900.54114
23.04.2026 08:08:07;900.21906
23.04.2026 08:08:08;901.91943
23.04.2026 08:08:08;902.5665
23.04.2026 08:08:10;902.23096
23.04.2026 08:08:11;906.222
23.04.2026 08:08:12;908.1366
23.04.2026 08:08:12;908.0976
23.04.2026 08:08:14;909.83624
23.04.2026 08:08:14;925.56323
23.04.2026 08:08:16;984.0037
23.04.2026 08:08:17;1056.5663
23.04.2026 08:08:18;1098.4989
23.04.2026 08:08:19;1139.6338
23.04.2026 08:08:20;1139.6338
23.04.2026 08:08:21;1139.6338
